Metric 1,Metric 2,Correlation,State
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.25664490652234895,New Mexico
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.24008603509053894,New Mexico
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.64695348724823,New Mexico
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.25664490652234895,New Mexico
Deaths Change (%),Population Change (%),-0.31690629414621385,New York
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.1469538298414628,New York
Population Change (%),Deaths Change (%),-0.31690629414621385,New York
Population Change (%),Crude Rate Change (%),-0.32460090581819656,New York
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.23558891489963518,New York
Crude Rate Change (%),Population Change (%),-0.32460090581819656,New York
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.15474359358240058,New York
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.1469538298414628,New York
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.23558891489963518,New York
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.15474359358240058,New York
Deaths Change (%),Population Change (%),-0.01541639751134554,North Carolina
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3818739360288617,North Carolina
Population Change (%),Deaths Change (%),-0.01541639751134554,North Carolina
Population Change (%),Crude Rate Change (%),-0.04116310514397534,North Carolina
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.6312198433663613,North Carolina
Crude Rate Change (%),Population Change (%),-0.04116310514397534,North Carolina
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3779715075687983,North Carolina
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.3818739360288617,North Carolina
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.6312198433663613,North Carolina
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.3779715075687983,North Carolina
Deaths Change (%),Population Change (%),0.03497934884703819,Ohio
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.09132734643308126,Ohio
Population Change (%),Deaths Change (%),0.03497934884703819,Ohio
Population Change (%),Crude Rate Change (%),0.013948441922315055,Ohio
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.09940864401642012,Ohio
Crude Rate Change (%),Population Change (%),0.013948441922315055,Ohio
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.07819387760456564,Ohio
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.09132734643308126,Ohio
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.09940864401642012,Ohio
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.07819387760456564,Ohio
Deaths Change (%),Population Change (%),-0.22752829559206728,Oklahoma
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.36679092503906363,Oklahoma
Population Change (%),Deaths Change (%),-0.22752829559206728,Oklahoma
Population Change (%),Crude Rate Change (%),-0.24287258025989683,Oklahoma
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.0858554811150949,Oklahoma
Crude Rate Change (%),Population Change (%),-0.24287258025989683,Oklahoma
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3743792893684342,Oklahoma
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.36679092503906363,Oklahoma
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.0858554811150949,Oklahoma
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.3743792893684342,Oklahoma
Deaths Change (%),Population Change (%),0.6017757748715896,Oregon
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.1674516086970832,Oregon
Population Change (%),Deaths Change (%),0.6017757748715896,Oregon
Population Change (%),Crude Rate Change (%),0.5757866550019618,Oregon
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.39680194482105247,Oregon
Crude Rate Change (%),Population Change (%),0.5757866550019618,Oregon
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.1702053102912696,Oregon
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.1674516086970832,Oregon
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.39680194482105247,Oregon
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.1702053102912696,Oregon
Deaths Change (%),Population Change (%),0.03258333329714357,Pennsylvania
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.3345246448688503,Pennsylvania
Population Change (%),Deaths Change (%),0.03258333329714357,Pennsylvania
Population Change (%),Crude Rate Change (%),0.025932025617061795,Pennsylvania
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.4733484582787352,Pennsylvania
Crude Rate Change (%),Population Change (%),0.025932025617061795,Pennsylvania
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.3443336994051281,Pennsylvania
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.3345246448688503,Pennsylvania
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.4733484582787352,Pennsylvania
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.3443336994051281,Pennsylvania
Deaths Change (%),Population Change (%),0.2059195052653908,Rhode Island
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.25355828671028546,Rhode Island
Population Change (%),Deaths Change (%),0.2059195052653908,Rhode Island
Population Change (%),Crude Rate Change (%),0.17866706951582295,Rhode Island
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.037189840184865076,Rhode Island
Crude Rate Change (%),Population Change (%),0.17866706951582295,Rhode Island
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.24722077759678224,Rhode Island
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.25355828671028546,Rhode Island
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.037189840184865076,Rhode Island
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.24722077759678224,Rhode Island
Deaths Change (%),Population Change (%),-0.019428169295807353,South Carolina
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.19048736850567474,South Carolina
Population Change (%),Deaths Change (%),-0.019428169295807353,South Carolina
Population Change (%),Crude Rate Change (%),-0.015177173018891437,South Carolina
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3328129640924015,South Carolina
Crude Rate Change (%),Population Change (%),-0.015177173018891437,South Carolina
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.2205040392604913,South Carolina
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.19048736850567474,South Carolina
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.3328129640924015,South Carolina
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.2205040392604913,South Carolina
Deaths Change (%),Population Change (%),0.07793720016304859,South Dakota
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.13923038594900078,South Dakota
Population Change (%),Deaths Change (%),0.07793720016304859,South Dakota
Population Change (%),Crude Rate Change (%),0.05843890451216222,South Dakota
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.46978315490663014,South Dakota
Crude Rate Change (%),Population Change (%),0.05843890451216222,South Dakota
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.13460182388975395,South Dakota
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.13923038594900078,South Dakota
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.46978315490663014,South Dakota
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.13460182388975395,South Dakota
Deaths Change (%),Population Change (%),-0.19126877625005442,Tennessee
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.18991713034921043,Tennessee
Population Change (%),Deaths Change (%),-0.19126877625005442,Tennessee
Population Change (%),Crude Rate Change (%),-0.21091168136886315,Tennessee
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5370423983932486,Tennessee
Crude Rate Change (%),Population Change (%),-0.21091168136886315,Tennessee
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.1838421308272871,Tennessee
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.18991713034921043,Tennessee
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5370423983932486,Tennessee
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.1838421308272871,Tennessee
Deaths Change (%),Population Change (%),0.3891729022838718,Texas
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3638545217423871,Texas
Population Change (%),Deaths Change (%),0.3891729022838718,Texas
Population Change (%),Crude Rate Change (%),0.29862342694864646,Texas
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.31954241530995636,Texas
Crude Rate Change (%),Population Change (%),0.29862342694864646,Texas
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3787915082387973,Texas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.3638545217423871,Texas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.31954241530995636,Texas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.3787915082387973,Texas
Deaths Change (%),Population Change (%),-0.07617457128530818,Utah
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.044644716944158544,Utah
Population Change (%),Deaths Change (%),-0.07617457128530818,Utah
Population Change (%),Crude Rate Change (%),-0.12347618312396905,Utah
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.4784455275929493,Utah
Crude Rate Change (%),Population Change (%),-0.12347618312396905,Utah
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.014926238446264154,Utah
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.044644716944158544,Utah
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.4784455275929493,Utah
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.014926238446264154,Utah
Deaths Change (%),Population Change (%),0.4475515807194613,Vermont
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.30227522890205477,Vermont
Population Change (%),Deaths Change (%),0.4475515807194613,Vermont
Population Change (%),Crude Rate Change (%),0.44516682638705407,Vermont
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5697752326501823,Vermont
Crude Rate Change (%),Population Change (%),0.44516682638705407,Vermont
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.30369262974185424,Vermont
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.30227522890205477,Vermont
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5697752326501823,Vermont
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.30369262974185424,Vermont
Deaths Change (%),Population Change (%),0.1259315620947425,Virginia
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.05709836592086569,Virginia
Population Change (%),Deaths Change (%),0.1259315620947425,Virginia
Population Change (%),Crude Rate Change (%),0.09723515227926847,Virginia
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.6244658151895482,Virginia
Crude Rate Change (%),Population Change (%),0.09723515227926847,Virginia
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.043676675884783314,Virginia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.05709836592086569,Virginia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.6244658151895482,Virginia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.043676675884783314,Virginia
Deaths Change (%),Population Change (%),0.06538704944427343,Washington
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.016334574936903882,Washington
Population Change (%),Deaths Change (%),0.06538704944427343,Washington
Population Change (%),Crude Rate Change (%),0.04350622802656759,Washington
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.2559024025195618,Washington
Crude Rate Change (%),Population Change (%),0.04350622802656759,Washington
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.033072414681622274,Washington
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.016334574936903882,Washington
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.2559024025195618,Washington
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.033072414681622274,Washington
Deaths Change (%),Population Change (%),-0.32369309475566527,West Virginia
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.43017863396855066,West Virginia
Population Change (%),Deaths Change (%),-0.32369309475566527,West Virginia
Population Change (%),Crude Rate Change (%),-0.32357017396718946,West Virginia
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.19037507229414755,West Virginia
Crude Rate Change (%),Population Change (%),-0.32357017396718946,West Virginia
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.4265258585444841,West Virginia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.43017863396855066,West Virginia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.19037507229414755,West Virginia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.4265258585444841,West Virginia
Deaths Change (%),Population Change (%),0.44874828686675045,Wisconsin
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.34479153403960755,Wisconsin
Population Change (%),Deaths Change (%),0.44874828686675045,Wisconsin
Population Change (%),Crude Rate Change (%),0.4230686527628837,Wisconsin
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.7751359702791314,Wisconsin
Crude Rate Change (%),Population Change (%),0.4230686527628837,Wisconsin
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3025748921594401,Wisconsin
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.34479153403960755,Wisconsin
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.7751359702791314,Wisconsin
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.3025748921594401,Wisconsin
Deaths Change (%),Population Change (%),0.012835006269322161,Wyoming
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.40528585614119944,Wyoming
Population Change (%),Deaths Change (%),0.012835006269322161,Wyoming
Population Change (%),Crude Rate Change (%),-0.013783921443235168,Wyoming
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.48462506055896093,Wyoming
Crude Rate Change (%),Population Change (%),-0.013783921443235168,Wyoming
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.39456692606842414,Wyoming
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.40528585614119944,Wyoming
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.48462506055896093,Wyoming
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.39456692606842414,Wyoming
